image,subject_id,fix_x,fix_y,duration
1234.jpg,5,459.375,151.7578125,816.0
1234.jpg,5,475.625,233.203125,450.0
1236.jpg,5,286.875,420.703125,566.0
1236.jpg,5,420.625,100.1953125,791.0
1236.jpg,5,401.25,157.6171875,233.0
1236.jpg,5,286.25,508.0078125,175.0
1236.jpg,5,293.125,423.6328125,117.0
1236.jpg,5,303.125,493.359375,1241.0
1237.jpg,5,586.875,424.8046875,233.0
1237.jpg,5,611.875,396.09375,200.0
1237.jpg,5,581.875,397.8515625,691.0
1237.jpg,5,220.625,209.1796875,225.0
1237.jpg,5,216.25,178.125,191.0
1237.jpg,5,241.875,109.5703125,866.0
1237.jpg,5,591.25,439.453125,100.0
1237.jpg,5,583.125,394.3359375,366.0
1239.jpg,5,387.5,309.375,433.0
1239.jpg,5,376.875,302.34375,225.0
1239.jpg,5,291.875,280.6640625,508.0
1239.jpg,5,428.75,318.1640625,366.0
1239.jpg,5,383.75,291.2109375,341.0
1239.jpg,5,671.875,431.8359375,233.0
1239.jpg,5,690.625,491.015625,308.0
1239.jpg,5,318.75,387.890625,242.0
1239.jpg,5,165.625,389.0625,191.0
1240.jpg,5,586.25,427.734375,558.0
1240.jpg,5,298.75,230.2734375,633.0
1240.jpg,5,388.125,185.7421875,233.0
1240.jpg,5,534.375,362.6953125,350.0
1240.jpg,5,380.625,317.578125,1141.0
1244.jpg,5,502.5,373.828125,208.0
1244.jpg,5,556.25,322.8515625,575.0
1244.jpg,5,616.25,437.109375,283.0
1244.jpg,5,541.25,416.6015625,250.0
1244.jpg,5,141.25,324.0234375,358.0
1244.jpg,5,313.75,142.96875,283.0
1244.jpg,5,93.125,117.7734375,325.0
1244.jpg,5,500.625,170.5078125,58.0
1244.jpg,5,485.0,128.3203125,200.0
1244.jpg,5,526.875,229.6875,316.0
1246.jpg,5,230.625,288.28125,242.0
1246.jpg,5,378.75,324.0234375,266.0
1246.jpg,5,348.125,332.8125,300.0
1246.jpg,5,418.125,226.7578125,341.0
1246.jpg,5,448.125,343.359375,216.0
1246.jpg,5,616.25,337.5,441.0
1246.jpg,5,158.125,279.4921875,375.0
1246.jpg,5,476.875,485.7421875,225.0
1246.jpg,5,421.875,316.9921875,250.0
1249.jpg,5,154.375,303.515625,591.0
1249.jpg,5,140.0,206.8359375,258.0
1249.jpg,5,361.875,312.3046875,400.0
1249.jpg,5,161.25,241.9921875,475.0
1249.jpg,5,128.75,175.1953125,342.0
1249.jpg,5,157.5,151.171875,308.0
1249.jpg,5,265.0,195.1171875,216.0
1256.jpg,5,393.125,284.765625,166.0
1256.jpg,5,665.625,309.9609375,325.0
1256.jpg,5,665.0,357.421875,208.0
1256.jpg,5,359.375,307.03125,275.0
1256.jpg,5,375.0,237.890625,233.0
1256.jpg,5,166.25,150.0,342.0
1256.jpg,5,270.0,201.5625,192.0
1256.jpg,5,482.5,199.8046875,316.0
1256.jpg,5,340.625,233.7890625,233.0
1256.jpg,5,402.5,412.5,166.0
1256.jpg,5,387.5,527.34375,191.0
1259.jpg,5,438.75,391.9921875,150.0
1259.jpg,5,465.0,449.4140625,550.0
1259.jpg,5,196.25,251.953125,658.0
1259.jpg,5,218.75,328.7109375,233.0
1259.jpg,5,262.5,347.4609375,167.0
1259.jpg,5,471.875,427.734375,450.0
1259.jpg,5,458.125,438.8671875,691.0
1260.jpg,5,310.625,367.96875,183.0
1260.jpg,5,305.625,398.4375,91.0
1260.jpg,5,501.875,408.984375,391.0
1260.jpg,5,178.125,428.90625,316.0
1260.jpg,5,672.5,432.421875,599.0
1260.jpg,5,303.75,137.109375,491.0
1260.jpg,5,427.5,285.9375,183.0
1261.jpg,5,421.875,412.5,208.0
1261.jpg,5,488.125,375.5859375,575.0
1261.jpg,5,435.625,410.15625,2373.0
1265.jpg,5,461.25,493.359375,433.0
1265.jpg,5,453.75,525.5859375,333.0
1265.jpg,5,545.625,521.484375,441.0
1265.jpg,5,493.75,498.6328125,208.0
1265.jpg,5,453.75,461.1328125,225.0
1265.jpg,5,585.625,454.1015625,242.0
1265.jpg,5,385.625,371.484375,217.0
1265.jpg,5,217.5,125.9765625,217.0
1265.jpg,5,247.5,80.2734375,258.0
1267.jpg,5,212.5,367.3828125,183.0
1267.jpg,5,70.0,434.765625,308.0
1267.jpg,5,46.25,434.765625,291.0
1267.jpg,5,55.625,336.328125,316.0
1267.jpg,5,232.5,338.671875,192.0
1267.jpg,5,425.0,303.515625,391.0
1267.jpg,5,331.875,191.015625,275.0
1267.jpg,5,116.875,125.390625,308.0
1267.jpg,5,119.375,73.2421875,266.0
1321.jpg,5,410.625,318.1640625,266.0
1321.jpg,5,386.875,488.0859375,191.0
1321.jpg,5,419.375,541.9921875,308.0
1321.jpg,5,551.25,400.1953125,250.0
1321.jpg,5,468.125,295.3125,683.0
1321.jpg,5,521.875,251.3671875,167.0
1321.jpg,5,145.0,314.0625,275.0
1321.jpg,5,102.5,322.8515625,300.0
1321.jpg,5,360.625,449.4140625,383.0
1321.jpg,5,320.0,381.4453125,100.0
1323.jpg,5,126.875,201.5625,266.0
1323.jpg,5,382.5,350.9765625,308.0
1323.jpg,5,633.125,327.5390625,450.0
1323.jpg,5,603.125,317.578125,50.0
1323.jpg,5,355.625,342.7734375,483.0
1323.jpg,5,370.625,359.1796875,1307.0
1327.jpg,5,387.5,311.1328125,8.0
1327.jpg,5,501.875,441.2109375,375.0
1327.jpg,5,550.0,287.6953125,83.0
1327.jpg,5,502.5,425.390625,117.0
1327.jpg,5,498.125,454.6875,108.0
1327.jpg,5,256.875,346.875,433.0
1327.jpg,5,318.125,370.3125,583.0
1327.jpg,5,411.875,150.0,308.0
1327.jpg,5,443.75,128.3203125,183.0
1327.jpg,5,500.0,444.140625,608.0
1329.jpg,5,394.375,349.8046875,100.0
1329.jpg,5,430.0,374.4140625,133.0
1329.jpg,5,136.25,435.3515625,608.0
1329.jpg,5,598.75,459.375,141.0
1329.jpg,5,630.625,466.40625,250.0
1329.jpg,5,664.375,515.0390625,425.0
1329.jpg,5,628.75,362.6953125,458.0
1329.jpg,5,224.375,365.0390625,225.0
1329.jpg,5,165.625,301.171875,250.0
1329.jpg,5,140.625,457.03125,624.0
1331.jpg,5,487.5,275.9765625,167.0
1331.jpg,5,499.375,254.296875,358.0
1331.jpg,5,386.875,354.4921875,67.0
1331.jpg,5,387.5,382.6171875,75.0
1331.jpg,5,384.375,356.8359375,433.0
1331.jpg,5,501.875,241.40625,491.0
1331.jpg,5,519.375,142.3828125,758.0
1331.jpg,5,523.75,116.015625,33.0
1331.jpg,5,488.75,157.03125,258.0
1333.jpg,5,391.875,275.9765625,175.0
1333.jpg,5,355.625,271.875,291.0
1333.jpg,5,513.125,284.1796875,350.0
1333.jpg,5,519.375,183.3984375,266.0
1333.jpg,5,373.125,251.3671875,625.0
1333.jpg,5,492.5,280.6640625,92.0
1333.jpg,5,321.25,295.3125,141.0
1333.jpg,5,346.25,246.6796875,466.0
1334.jpg,5,378.75,258.3984375,591.0
1334.jpg,5,548.125,252.5390625,458.0
1334.jpg,5,341.875,150.0,108.0
1334.jpg,5,231.875,170.5078125,200.0
1334.jpg,5,251.875,180.46875,408.0
1334.jpg,5,451.875,391.40625,475.0
1334.jpg,5,474.375,317.578125,591.0
1335.jpg,5,472.5,351.5625,508.0
1335.jpg,5,250.625,423.046875,191.0
1335.jpg,5,274.375,414.2578125,208.0
1335.jpg,5,283.125,168.75,391.0
1335.jpg,5,281.875,135.3515625,816.0
1335.jpg,5,495.0,120.703125,808.0
1336.jpg,5,507.5,375.0,316.0
1336.jpg,5,509.375,406.0546875,225.0
1336.jpg,5,58.75,433.59375,92.0
1336.jpg,5,88.75,430.6640625,358.0
1336.jpg,5,56.875,270.703125,316.0
1336.jpg,5,105.625,193.9453125,316.0
1336.jpg,5,82.5,258.3984375,400.0
1336.jpg,5,405.625,250.78125,166.0
1336.jpg,5,401.25,352.734375,67.0
1336.jpg,5,400.625,384.9609375,67.0
1336.jpg,5,401.875,347.4609375,1541.0
1339.jpg,5,449.375,360.3515625,375.0
1339.jpg,5,242.5,359.1796875,216.0
1339.jpg,5,210.625,214.453125,158.0
1339.jpg,5,235.625,154.6875,633.0
1339.jpg,5,431.875,406.0546875,92.0
1339.jpg,5,416.875,365.625,75.0
1339.jpg,5,332.5,362.6953125,75.0
1341.jpg,5,455.0,367.96875,166.0
1341.jpg,5,468.75,413.0859375,525.0
1341.jpg,5,348.125,438.28125,333.0
1341.jpg,5,231.875,400.1953125,350.0
1341.jpg,5,173.75,526.171875,358.0
1341.jpg,5,509.375,528.515625,308.0
1341.jpg,5,477.5,505.6640625,425.0
1341.jpg,5,467.5,478.7109375,50.0
1342.jpg,5,386.25,237.3046875,250.0
1342.jpg,5,366.25,127.734375,358.0
1342.jpg,5,570.0,335.7421875,200.0
1342.jpg,5,588.75,382.6171875,167.0
1342.jpg,5,621.25,450.0,841.0
1342.jpg,5,650.0,526.7578125,833.0
1343.jpg,5,445.0,430.078125,125.0
1343.jpg,5,656.875,324.0234375,183.0
1343.jpg,5,625.625,333.3984375,92.0
1343.jpg,5,632.5,355.078125,75.0
1343.jpg,5,271.25,365.0390625,824.0
1343.jpg,5,643.75,333.3984375,83.0
1343.jpg,5,620.0,319.921875,366.0
